Rank,Locid,City,Airport Name,Hub,CY 22 Enplanements
1,ATL,Atlanta,Hartsfield - Jackson Atlanta International,L,45396001
2,DFW,Fort Worth,Dallas-Fort Worth International,L,35345138
3,DEN,Denver,Denver International,L,33773832
4,ORD,Chicago,Chicago O'Hare International,L,33120474
5,LAX,Los Angeles,Los Angeles International,L,32326616
6,JFK,New York,John F Kennedy International,L,27154885
7,LAS,Las Vegas,Harry Reid International,L,25480500
8,MCO,Orlando,Orlando International,L,24469733
9,MIA,Miami,Miami International,L,23949892
10,CLT,Charlotte,Charlotte/Douglas International,L,23100300
11,SEA,Seattle,Seattle-Tacoma International,L,22157862
12,PHX,Phoenix,Phoenix Sky Harbor International,L,21852586
13,EWR,Newark,Newark Liberty International,L,21774690
14,SFO,San Francisco International Airport,San Francisco International,L,20411420
15,IAH,Houston,George Bush Intcntl/Houston,L,19814052
16,BOS,Boston,General Edward Lawrence Logan International,L,17443775
17,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,L,15370165
18,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,L,15242089
19,LGA,New York,Laguardia,L,14367463
20,DTW,Detroit,Detroit Metro Wayne County,L,13751197
21,PHL,Philadelphia,Philadelphia International,L,12421168
22,SLC,Salt Lake City,Salt Lake City International,L,12383843
23,DCA,Arlington,Ronald Reagan Washington Ntl,L,11553850
24,SAN,San Diego,San Diego International,L,11162224
25,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,L,11151169
26,TPA,Tampa,Tampa International,L,10539459
27,AUS,Austin,Austin-Bergstrom International,L,10382573
28,IAD,Dulles,Washington Dulles International,L,10266324
29,BNA,Nashville,Nashville International,L,9829062
30,MDW,Chicago,Chicago Midway International,L,9650281
31,HNL,Honolulu,Daniel K Inouye International,L,8828395
32,DAL,Dallas,Dallas Love Field,M,7819129
33,PDX,Portland,Portland International,M,7241882
34,STL,St. Louis,St Louis Lambert International,M,6709080
35,HOU,Houston,William P Hobby,M,6462948
36,SMF,Sacramento,Sacramento International,M,6040824
